,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
1550,善化區,房地(土地+建物),其他,108,8,華廈(10層含以下有電梯),4,1,0,32.5127,25,7,0.375
1561,佳里區,房地(土地+建物),其他,108,12,住宅大樓(11層含以上有電梯),4,1,0,34.548525,25,7,0.8333333333333334
1641,南區,房地(土地+建物),住,108,14,住宅大樓(11層含以上有電梯),4,1,0,42.652499999999996,22,7,0.42857142857142855
1656,安南區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,0,51.276774999999994,25,8,0.9
1667,安平區,房地(土地+建物)+車位,住,108,6,套房(1房1廳1衛),4,1,0,19.414450000000002,27,3,1.0
1682,仁德區,房地(土地+建物),商,108,4,透天厝,4,0,0,50.3844,17,10,1.0
1699,將軍區,房地(土地+建物),商,108,3,透天厝,4,0,0,60.645199999999996,5,10,1.0
1706,白河區,房地(土地+建物),住,108,2,套房(1房1廳1衛),4,1,0,16.4076,27,3,0.5
1751,中西區,房地(土地+建物),其他,108,14,住宅大樓(11層含以上有電梯),4,1,0,23.368125,21,5,0.7142857142857143
1822,東區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,16.743375,39,5,0.6
1843,善化區,房地(土地+建物),商,106,4,透天厝,4,0,0,47.88575,-1,12,1.0
1853,將軍區,房地(土地+建物)+車位,住,107,4,透天厝,4,0,0,51.300975,0,9,1.0
1877,東區,房地(土地+建物)+車位,住,107,14,套房(1房1廳1衛),4,1,0,24.239324999999997,20,3,0.9285714285714286
1920,安平區,房地(土地+建物)+車位,商,108,6,華廈(10層含以下有電梯),4,1,0,35.462075,26,7,0.8333333333333334
1931,新化區,房地(土地+建物),商,108,13,住宅大樓(11層含以上有電梯),4,1,0,39.0467,23,7,0.23076923076923078
2041,東區,房地(土地+建物)+車位,商,107,10,華廈(10層含以下有電梯),4,1,0,49.6705,12,7,0.4
2123,南區,房地(土地+建物)+車位,住,108,11,住宅大樓(11層含以上有電梯),4,1,0,45.269125,23,6,0.5454545454545454
2196,麻豆區,房地(土地+建物),商,108,3,透天厝,4,0,0,38.378175,37,9,1.0
2210,新營區,房地(土地+建物),商,108,12,套房(1房1廳1衛),4,0,0,32.207175,22,2,0.6666666666666666
2247,東區,房地(土地+建物),商,108,2,透天厝,5,0,0,37.14095,45,7,1.0
2292,中西區,房地(土地+建物)+車位,商,108,12,套房(1房1廳1衛),4,1,0,16.7343,23,3,0.5
2312,大內區,房地(土地+建物),住,108,2,透天厝,5,0,0,32.007525,39,7,1.0
2330,安南區,房地(土地+建物),其他,108,3,透天厝,4,0,0,53.255125,27,8,1.0
2348,官田區,房地(土地+建物)+車位,住,108,3,透天厝,4,0,0,47.17185,25,9,1.0
2353,安平區,房地(土地+建物),其他,108,4,公寓(5樓含以下無電梯),4,0,0,28.5197,44,7,0.75
2520,新市區,房地(土地+建物)+車位,住,108,11,住宅大樓(11層含以上有電梯),4,1,0,37.730825,24,7,0.9090909090909091
2522,新營區,房地(土地+建物)+車位,商,108,9,華廈(10層含以下有電梯),4,1,0,32.1376,25,7,0.7777777777777778
2557,善化區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,1,0,41.1642,25,7,0.8571428571428571
2575,新化區,房地(土地+建物),住,108,13,住宅大樓(11層含以上有電梯),4,1,0,35.43485,23,7,0.6923076923076923
2585,新化區,房地(土地+建物)+車位,其他,108,9,華廈(10層含以下有電梯),4,0,0,36.421,24,7,0.7777777777777778
2627,中西區,房地(土地+建物)+車位,商,108,7,華廈(10層含以下有電梯),4,1,0,38.8047,23,8,1.0
2676,仁德區,房地(土地+建物),其他,108,11,住宅大樓(11層含以上有電梯),4,1,0,24.9502,24,8,0.9090909090909091
2710,安南區,房地(土地+建物),其他,108,12,套房(1房1廳1衛),4,1,0,18.85785,21,3,0.25
2758,善化區,房地(土地+建物),其他,108,2,透天厝,5,0,0,32.09525,33,8,1.0
2964,學甲區,房地(土地+建物),商,108,5,套房(1房1廳1衛),4,0,0,13.724424999999998,28,2,0.8
3032,北區,房地(土地+建物)+車位,住,108,4,透天厝,4,1,0,102.17542499999999,23,14,1.0
3059,新市區,房地(土地+建物),商,108,8,華廈(10層含以下有電梯),4,1,0,14.06625,24,7,1.0
3083,中西區,房地(土地+建物),其他,108,1,透天厝,5,0,0,14.15095,108,4,1.0
3159,學甲區,房地(土地+建物),住,108,6,套房(1房1廳1衛),4,1,0,22.39105,24,3,0.16666666666666666
3521,學甲區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,0,0,30.147149999999996,23,8,0.8571428571428571
3540,楠西區,房地(土地+建物),住,108,3,透天厝,4,0,0,41.84785,26,8,1.0
3624,西港區,房地(土地+建物),住,107,8,套房(1房1廳1衛),4,0,0,14.946525,23,3,0.375
3647,北區,房地(土地+建物),其他,107,8,華廈(10層含以下有電梯),4,1,0,74.77195,35,6,0.75
3745,學甲區,房地(土地+建物),住,107,5,公寓(5樓含以下無電梯),4,0,0,40.864725,26,4,0.2
3933,善化區,房地(土地+建物),商,107,13,住宅大樓(11層含以上有電梯),4,1,0,27.406499999999998,9,6,0.7692307692307693
3934,官田區,房地(土地+建物),住,107,4,公寓(5樓含以下無電梯),4,0,0,39.491375000000005,34,7,0.75
4161,北區,房地(土地+建物)+車位,商,107,5,套房(1房1廳1衛),4,1,0,7.208574999999999,28,2,1.0
4178,永康區,房地(土地+建物),其他,107,7,華廈(10層含以下有電梯),4,1,0,24.811049999999998,24,7,0.8571428571428571
